"Market","Period","Alpha","Beta","Std_Error_Beta","T_value_Beta","P_value_Beta","R_squared","Adj_R_squared","F_statistic","P_value_F","N_obs","Significant"
"USA","P1: 2018-2019 (Pre-COVID)",0.00358,0.001683,0.00011773,14.2927,0,0.2901,0.2886,204.28,0,502,"*** (1%)"
"USA","P2: 2020-2021 (COVID)",-0.000871,0.003432,0.0001599,21.4622,0,0.478,0.477,460.63,0,505,"*** (1%)"
"USA","P3: 2022-2025 (Post-COVID)",0.004447,0.001194,7.109e-05,16.7978,0,0.2201,0.2193,282.17,0,1002,"*** (1%)"
"France","P1: 2018-2019 (Pre-COVID)",0.002605,0.002167,0.00015889,13.6395,0,0.2688,0.2674,186.04,0,508,"*** (1%)"
"France","P2: 2020-2021 (COVID)",0.000161,0.002779,0.0001217,22.8349,0,0.5041,0.5031,521.43,0,515,"*** (1%)"
"France","P3: 2022-2025 (Post-COVID)",0.003272,0.001326,7.245e-05,18.3062,0,0.2473,0.2466,335.12,0,1022,"*** (1%)"
"Brazil","P1: 2018-2019 (Pre-COVID)",-0.000245,0.015469,0.00093857,16.4816,0,0.3571,0.3558,271.64,0,491,"*** (1%)"
"Brazil","P2: 2020-2021 (COVID)",3e-06,0.011811,0.00066212,17.8378,0,0.3922,0.391,318.19,0,495,"*** (1%)"
"Brazil","P3: 2022-2025 (Post-COVID)",0.001211,0.01035,0.00041212,25.1136,0,0.3875,0.3869,630.69,0,999,"*** (1%)"
"Turkey","P1: 2018-2019 (Pre-COVID)",0.001868,0.031018,0.00161825,19.1677,0,0.4336,0.4324,367.4,0,482,"*** (1%)"
"Turkey","P2: 2020-2021 (COVID)",0.00792,0.010003,0.0006757,14.8033,0,0.3069,0.3055,219.14,0,497,"*** (1%)"
"Turkey","P3: 2022-2025 (Post-COVID)",0.013551,0.000124,0.00010407,1.1956,0.232128,0.0014,4e-04,1.43,0.232128,993,"Not sig"
